Notes,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Ethnicity,Gender,Gender Code,Year,Year Code,Deaths,Population,Crude Rate
,California,6,40-44 years,40-44,Hispanic,Male,M,2001,2001,Suppressed,381816,Suppressed
,California,6,40-44 years,40-44,Hispanic,Male,M,2002,2002,Suppressed,400611,Suppressed
,California,6,40-44 years,40-44,Hispanic,Male,M,2003,2003,Suppressed,417136,Suppressed
,California,6,40-44 years,40-44,Hispanic,Male,M,2004,2004,Suppressed,435536,Suppressed
,California,6,40-44 years,40-44,Hispanic,Male,M,2005,2005,Suppressed,448313,Suppressed
,California,6,40-44 years,40-44,Hispanic,Male,M,2006,2006,Suppressed,461273,Suppressed
,California,6,40-44 years,40-44,Hispanic,Male,M,2007,2007,Suppressed,469061,Suppressed
,California,6,40-44 years,40-44,Hispanic,Male,M,2008,2008,Suppressed,482038,Suppressed
,California,6,40-44 years,40-44,Hispanic,Male,M,2009,2009,Suppressed,491819,Suppressed
,California,6,40-44 years,40-44,Hispanic,Male,M,2010,2010,Suppressed,502522,Suppressed
,California,6,40-44 years,40-44,Hispanic,Male,M,2011,2011,Suppressed,516297,Suppressed
,California,6,40-44 years,40-44,Hispanic,Male,M,2012,2012,Suppressed,520679,Suppressed
,California,6,40-44 years,40-44,Hispanic,Male,M,2013,2013,Suppressed,521146,Suppressed
,California,6,40-44 years,40-44,Hispanic,Male,M,2014,2014,Suppressed,527532,Suppressed
,California,6,40-44 years,40-44,Hispanic,Male,M,2015,2015,Suppressed,527322,Suppressed
,California,6,40-44 years,40-44,Hispanic,Male,M,2016,2016,Suppressed,521745,Suppressed
,California,6,40-44 years,40-44,Hispanic,Male,M,2017,2017,Suppressed,525617,Suppressed
,California,6,40-44 years,40-44,Hispanic,Male,M,2018,2018,Suppressed,525165,Suppressed
Total,California,6,40-44 years,40-44,Hispanic,Male,M,,,Suppressed,9382007,Suppressed
Total,California,6,40-44 years,40-44,Hispanic,,,,,Suppressed,9382007,Suppressed
,California,6,45-49 years,45-49,Hispanic,Male,M,1999,1999,Suppressed,250940,Suppressed
,California,6,45-49 years,45-49,Hispanic,Male,M,2000,2000,Suppressed,264977,Suppressed
,California,6,45-49 years,45-49,Hispanic,Male,M,2001,2001,Suppressed,284833,Suppressed
,California,6,45-49 years,45-49,Hispanic,Male,M,2002,2002,Suppressed,302942,Suppressed
,California,6,45-49 years,45-49,Hispanic,Male,M,2003,2003,Suppressed,321213,Suppressed
,California,6,45-49 years,45-49,Hispanic,Male,M,2004,2004,Suppressed,338080,Suppressed
,California,6,45-49 years,45-49,Hispanic,Male,M,2005,2005,Suppressed,356237,Suppressed
,California,6,45-49 years,45-49,Hispanic,Male,M,2006,2006,Suppressed,371488,Suppressed
,California,6,45-49 years,45-49,Hispanic,Male,M,2007,2007,Suppressed,387375,Suppressed
,California,6,45-49 years,45-49,Hispanic,Male,M,2008,2008,Suppressed,401500,Suppressed
