Notes,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Ethnicity,Gender,Gender Code,Year,Year Code,Deaths,Population,Crude Rate
,Alabama,1,70-74 years,70-74,Black,Female,F,2010,2010,Suppressed,16900,Suppressed
,Alabama,1,70-74 years,70-74,Black,Female,F,2011,2011,Suppressed,17269,Suppressed
,Alabama,1,70-74 years,70-74,Black,Female,F,2012,2012,Suppressed,17372,Suppressed
,Alabama,1,70-74 years,70-74,Black,Female,F,2013,2013,Suppressed,17946,Suppressed
,Alabama,1,70-74 years,70-74,Black,Female,F,2014,2014,12,18649,Unreliable
,Alabama,1,70-74 years,70-74,Black,Female,F,2015,2015,Suppressed,19260,Suppressed
,Alabama,1,70-74 years,70-74,Black,Female,F,2016,2016,12,20028,Unreliable
,Alabama,1,70-74 years,70-74,Black,Female,F,2017,2017,17,21634,Unreliable
,Alabama,1,70-74 years,70-74,Black,Female,F,2018,2018,22,23092,95.27
,Alabama,1,75-79 years,75-79,Black,Female,F,1999,1999,Suppressed,13969,Suppressed
,Alabama,1,75-79 years,75-79,Black,Female,F,2000,2000,15,13752,Unreliable
,Alabama,1,75-79 years,75-79,Black,Female,F,2001,2001,16,13946,Unreliable
,Alabama,1,75-79 years,75-79,Black,Female,F,2002,2002,Suppressed,14062,Suppressed
,Alabama,1,75-79 years,75-79,Black,Female,F,2003,2003,20,14004,142.82
,Alabama,1,75-79 years,75-79,Black,Female,F,2004,2004,17,13844,Unreliable
,Alabama,1,75-79 years,75-79,Black,Female,F,2005,2005,13,13877,Unreliable
,Alabama,1,75-79 years,75-79,Black,Female,F,2006,2006,14,13799,Unreliable
,Alabama,1,75-79 years,75-79,Black,Female,F,2007,2007,28,13633,205.38
,Alabama,1,75-79 years,75-79,Black,Female,F,2008,2008,24,13613,176.3
,Alabama,1,75-79 years,75-79,Black,Female,F,2009,2009,19,13310,Unreliable
,Alabama,1,75-79 years,75-79,Black,Female,F,2010,2010,18,13216,Unreliable
,Alabama,1,75-79 years,75-79,Black,Female,F,2011,2011,20,13553,147.57
,Alabama,1,75-79 years,75-79,Black,Female,F,2012,2012,18,13666,Unreliable
,Alabama,1,75-79 years,75-79,Black,Female,F,2013,2013,14,13818,Unreliable
,Alabama,1,75-79 years,75-79,Black,Female,F,2014,2014,26,14065,184.86
,Alabama,1,75-79 years,75-79,Black,Female,F,2015,2015,32,14269,224.26
,Alabama,1,75-79 years,75-79,Black,Female,F,2016,2016,22,14484,151.89
,Alabama,1,75-79 years,75-79,Black,Female,F,2017,2017,25,14918,167.58
,Alabama,1,75-79 years,75-79,Black,Female,F,2018,2018,38,15551,244.36
,Alabama,1,80-84 years,80-84,Black,Female,F,1999,1999,12,9631,Unreliable
