Notes,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Gender,Gender Code,Year,Year Code,Deaths,Population,Crude Rate
,Alabama,1,100+ years,100+,Female,F,2004,2004,13,Not Applicable,Not Applicable
,Alabama,1,100+ years,100+,Female,F,2005,2005,12,Not Applicable,Not Applicable
,Alabama,1,100+ years,100+,Female,F,2006,2006,13,Not Applicable,Not Applicable
,Alabama,1,100+ years,100+,Female,F,2007,2007,15,Not Applicable,Not Applicable
,Alabama,1,100+ years,100+,Female,F,2008,2008,12,Not Applicable,Not Applicable
,Alabama,1,100+ years,100+,Female,F,2009,2009,12,Not Applicable,Not Applicable
,Alabama,1,100+ years,100+,Female,F,2010,2010,19,Not Applicable,Not Applicable
,Alabama,1,100+ years,100+,Female,F,2011,2011,14,Not Applicable,Not Applicable
,Alabama,1,100+ years,100+,Female,F,2012,2012,14,Not Applicable,Not Applicable
,Alabama,1,100+ years,100+,Female,F,2013,2013,14,Not Applicable,Not Applicable
,Alabama,1,100+ years,100+,Female,F,2014,2014,22,Not Applicable,Not Applicable
,Alabama,1,100+ years,100+,Female,F,2015,2015,26,Not Applicable,Not Applicable
,Alabama,1,100+ years,100+,Female,F,2016,2016,16,Not Applicable,Not Applicable
,Alabama,1,100+ years,100+,Female,F,2017,2017,27,Not Applicable,Not Applicable
,Alabama,1,100+ years,100+,Female,F,2018,2018,30,Not Applicable,Not Applicable
,Alaska,2,30-34 years,30-34,Female,F,1999,1999,Suppressed,16076,Suppressed
,Alaska,2,30-34 years,30-34,Female,F,2000,2000,Suppressed,15466,Suppressed
,Alaska,2,30-34 years,30-34,Female,F,2001,2001,Suppressed,15419,Suppressed
,Alaska,2,30-34 years,30-34,Female,F,2002,2002,Suppressed,15257,Suppressed
,Alaska,2,30-34 years,30-34,Female,F,2003,2003,Suppressed,15040,Suppressed
,Alaska,2,30-34 years,30-34,Female,F,2004,2004,Suppressed,14790,Suppressed
,Alaska,2,30-34 years,30-34,Female,F,2005,2005,Suppressed,14526,Suppressed
,Alaska,2,30-34 years,30-34,Female,F,2006,2006,Suppressed,14181,Suppressed
,Alaska,2,30-34 years,30-34,Female,F,2007,2007,Suppressed,14049,Suppressed
,Alaska,2,30-34 years,30-34,Female,F,2008,2008,Suppressed,14272,Suppressed
,Alaska,2,30-34 years,30-34,Female,F,2009,2009,Suppressed,14637,Suppressed
,Alaska,2,30-34 years,30-34,Female,F,2010,2010,Suppressed,15313,Suppressed
,Alaska,2,30-34 years,30-34,Female,F,2011,2011,Suppressed,16101,Suppressed
,Alaska,2,30-34 years,30-34,Female,F,2012,2012,Suppressed,16435,Suppressed
,Alaska,2,30-34 years,30-34,Female,F,2013,2013,Suppressed,16766,Suppressed
,Alaska,2,30-34 years,30-34,Female,F,2014,2014,Suppressed,17081,Suppressed
,Alaska,2,30-34 years,30-34,Female,F,2015,2015,Suppressed,17101,Suppressed
,Alaska,2,30-34 years,30-34,Female,F,2016,2016,Suppressed,17391,Suppressed
,Alaska,2,30-34 years,30-34,Female,F,2017,2017,Suppressed,17259,Suppressed
,Alaska,2,30-34 years,30-34,Female,F,2018,2018,Suppressed,16969,Suppressed
